asset_name;tahun_bulan;open;high;low;close;volume
Dogecoin;2022-11;0.09;1.09;0.077;0.74;49738850753.0
Dogecoin;2022-12;0.74;0.75;0.067;0.49;15636694935.0
Dogecoin;2023-01;0.49;0.68;0.077;0.67;17303932740.0
Dogecoin;2023-02;0.67;0.69;0.01;0.56;15650955315.0
Dogecoin;2023-03;0.56;0.57;0.063;0.077;12819277281.0
Dogecoin;2023-04;0.077;0.71;0.081;0.55;27312865153.0
Dogecoin;2023-05;0.55;0.56;0.48;0.5;7422348068.0
Dogecoin;2023-06;0.5;0.51;0.061;0.46;8267800013.0
Dogecoin;2023-07;0.46;0.58;0.064;0.54;15064851952.0
Dogecoin;2023-08;0.54;0.54;0.073;0.44;9829583943.0
Dogecoin;2023-09;0.44;0.45;0.062;0.43;5518240682.0
Dogecoin;2023-10;0.43;0.52;0.058;0.47;7761886555.0
Dogecoin;2023-11;0.47;0.6;0.069;0.58;21100778032.0
Dogecoin;2023-12;0.58;0.73;0.089;0.62;23655304142.0
Dogecoin;2024-01;0.62;0.65;0.01;0.55;15096122846.0
Dogecoin;2024-02;0.55;0.93;0.081;0.81;19964515781.0
Dogecoin;2024-03;0.81;1.57;0.1;1.53;109268071992.0
Dogecoin;2024-04;1.53;1.53;0.0001;0.93;64588245005.0
Dogecoin;2024-05;0.93;1.21;0.0001;1.1;47099922037.0
Dogecoin;2024-06;1.1;1.15;0.0001;0.86;22681826142.0
Dogecoin;2024-07;0.86;0.99;0.07;0.08;25451336992.0
Dogecoin;2024-08;0.08;0.85;0.094;0.7;22259241186.0
Dogecoin;2024-09;0.7;0.9;0.07;0.79;19421249305.0
Dogecoin;2024-10;0.79;1.24;0.07;1.12;42430440831.0
Dogecoin;2024-11;1.12;3.32;0.0;0.29;310153489112.0
Dogecoin;2024-12;0.29;3.36;0.0003;2.19;189847325318.0
Dogecoin;2025-01;2.19;3.01;0.24;2.28;118024857847.0
Dogecoin;2025-02;2.28;2.3;0.17;0.14;62348601441.0
Dogecoin;2025-03;0.14;1.68;0.11;1.16;44907404647.0
Dogecoin;2025-04;1.16;1.34;0.11;1.2;37362116331.0
